,0,1,2,3
345,0.00043974968,0.9960751,0.00072730577,0.0027577851
346,0.00070701964,0.995968,0.0020791206,0.0012458917
347,0.0010083298,0.99326867,0.0028089224,0.002914031
348,0.000335551,0.99430496,0.0008045617,0.004554948
349,0.00069883396,0.99466574,0.0017090136,0.0029263566
350,0.0007362355,0.9954254,0.0016887052,0.0021496543
351,0.00036356103,0.99808204,0.0006141248,0.00094033347
352,0.0004575028,0.9971053,0.0009944021,0.0014427846
353,0.0003149677,0.9979359,0.0006734181,0.0010757266
354,0.00025804518,0.998502,0.00073071016,0.00050925947
355,0.00051740697,0.9970842,0.0011592965,0.0012391133
356,0.0005224096,0.9966356,0.0014839144,0.001358094
357,0.00013647528,0.9993511,0.0002896813,0.00022277948
358,0.00012568042,0.99943405,0.00021443055,0.00022579821
359,0.00016776539,0.9991549,0.00037588112,0.0003014086
360,8.6366665e-05,0.99963486,0.00013773558,0.00014098319
361,9.596871e-05,0.99956554,0.00018177167,0.00015665738
362,9.749159e-05,0.9996025,0.00015335869,0.00014670324
363,0.00010960106,0.99953306,0.00018487641,0.00017248045
364,0.00010729202,0.99954826,0.00017104764,0.0001733647
365,0.00010313288,0.9995716,0.00016298902,0.00016230141
366,6.72002e-05,0.9997305,0.00010264294,9.9635625e-05
367,0.00010883955,0.99955124,0.00017661855,0.00016330184
368,0.0001190849,0.9995302,0.00017875533,0.00017196225
369,0.00011925573,0.9995179,0.00018393276,0.00017893018
370,0.00011918416,0.9994727,0.00022937643,0.0001788228
371,0.00012802266,0.99947876,0.0001917401,0.00020147092
372,0.00011623658,0.99947006,0.00023077063,0.00018292302
373,0.00010731753,0.9995561,0.00016138009,0.00017518312
374,0.00012018015,0.99949765,0.00018072224,0.00020142901
375,0.00011521168,0.9995285,0.00016821943,0.00018806939
376,0.00010154886,0.9995677,0.00017089752,0.00015980875
377,0.000147113,0.99936765,0.00024757758,0.00023770826
378,7.936081e-05,0.99964964,0.00013355704,0.00013742429
